blkno,lp,lp_off,lp_flags,lp_len,t_xmin,t_xmax,t_field3,t_ctid,t_infomask2,t_infomask,t_hoff,t_bits
0,1,8152,1,35,775,0,0,"(0,1)",2,2306,24,
0,2,8112,1,35,775,0,0,"(0,2)",2,2306,24,
0,3,8072,1,35,775,0,0,"(0,3)",2,2306,24,
0,4,8032,1,35,775,0,0,"(0,4)",2,2306,24,
0,5,7992,1,35,775,0,0,"(0,5)",2,2306,24,
0,6,7952,1,35,775,0,0,"(0,6)",2,2306,24,
0,7,0,3,0,,,,,,,,
0,8,7912,1,35,775,0,0,"(0,8)",2,2306,24,
0,9,7872,1,35,775,0,0,"(0,9)",2,2306,24,
0,10,0,3,0,,,,,,,,
0,11,7832,1,36,775,0,0,"(0,11)",2,2306,24,
0,12,7792,1,36,775,0,0,"(0,12)",2,2306,24,
0,13,7752,1,36,775,0,0,"(0,13)",2,2306,24,
0,14,0,3,0,,,,,,,,
0,15,7712,1,36,775,0,0,"(0,15)",2,2306,24,
0,16,7672,1,36,775,0,0,"(0,16)",2,2306,24,
0,17,7632,1,36,775,0,0,"(0,17)",2,2306,24,
0,18,7592,1,36,775,0,0,"(0,18)",2,2306,24,
0,19,7552,1,36,775,0,0,"(0,19)",2,2306,24,
0,20,0,3,0,,,,,,,,
0,21,0,3,0,,,,,,,,
0,22,7512,1,36,775,0,0,"(0,22)",2,2306,24,
0,23,7472,1,36,775,0,0,"(0,23)",2,2306,24,
0,24,7432,1,36,775,0,0,"(0,24)",2,2306,24,
0,25,7392,1,36,775,0,0,"(0,25)",2,2306,24,
0,26,7352,1,36,775,0,0,"(0,26)",2,2306,24,
0,27,7312,1,36,775,0,0,"(0,27)",2,2306,24,
0,28,0,3,0,,,,,,,,
0,29,7272,1,36,775,0,0,"(0,29)",2,2306,24,
0,30,0,3,0,,,,,,,,
0,31,7232,1,36,775,0,0,"(0,31)",2,2306,24,
0,32,7192,1,36,775,0,0,"(0,32)",2,2306,24,
0,33,7152,1,36,775,0,0,"(0,33)",2,2306,24,
0,34,7112,1,36,775,0,0,"(0,34)",2,2306,24,
0,35,0,3,0,,,,,,,,
0,36,7072,1,36,775,0,0,"(0,36)",2,2306,24,
0,37,7032,1,36,775,0,0,"(0,37)",2,2306,24,
0,38,6992,1,36,775,0,0,"(0,38)",2,2306,24,
0,39,6952,1,36,775,0,0,"(0,39)",2,2306,24,
0,40,0,3,0,,,,,,,,
0,41,6912,1,36,775,0,0,"(0,41)",2,2306,24,
0,42,0,3,0,,,,,,,,
0,43,6872,1,36,775,0,0,"(0,43)",2,2306,24,
0,44,6832,1,36,775,0,0,"(0,44)",2,2306,24,
0,45,6792,1,36,775,0,0,"(0,45)",2,2306,24,
0,46,6752,1,36,775,0,0,"(0,46)",2,2306,24,
0,47,6712,1,36,775,0,0,"(0,47)",2,2306,24,
0,48,6672,1,36,775,0,0,"(0,48)",2,2306,24,
0,49,0,3,0,,,,,,,,
0,50,0,3,0,,,,,,,,
0,51,6632,1,36,775,0,0,"(0,51)",2,2306,24,
0,52,6592,1,36,775,0,0,"(0,52)",2,2306,24,
